kæɹɪd͡ʒ	kajɪt͡ʃ	[8, 12]
mun	mun	[]
teɪɫ	teɪɫ	[]
bəɫb	bəb	[8, 11, 14]
hʊk	hʊk	[]
wɹ̩m	wɹm	[]
koʊt	koʊt	[]
bɹeɪn	ɹeɪn	[14]
pɑt	pɑt	[]
ɫɛɡ	ɫɛk	[8]
fɪʃ	fɪʃ	[]
ni	ni	[]
nidəɫ	nijəɫ	[5]
nət	nət	[]
sɹ̩kəɫ	sɹkəɫ	[]
kəp	kəp	[]
nɛt	nɛt	[]
ɛɡ	ɛk	[8]
hænd	had	[8, 11, 14]
hɑɹt	hɑd	[11, 14]
pɪn	pɪn	[]
beɪbi	beɪji	[5]
wɔɫ	wɔɫ	[]
but	but	[]
paɪp	paɪp	[]
ɹisit	ɹisit	[]
bɹænt͡ʃ	ɹad͡ʒ	[11, 14, 14]
ɔɹənd͡ʒ	ɔjəd͡ʒ	[8, 11, 12, 14]
spɹɪŋ	əpɹɪŋ	[1, 14]
pɪɡ	pɪk	[8]
sneɪk	səneɪk	[6]
t͡ʃeɪn	t͡ʃeɪn	[]
stəmək	ətəmək	[1, 14]
bɹəʃ	ɹəʃ	[14]
pɫeɪn	ɫeɪn	[14]
dɹɑp	ɹɑp	[14]
dɹeɪn	ɹeɪn	[14]
hɔɹn	hɔn	[14]
ɑɹm	ɑm	[14]
hæmɹ̩	hamɹ	[]
kɹ̩tən	kɹtən	[]
ɫif	ɫif	[]
nɛk	nɛk	[]
pɫaʊ	ɫɑʊ	[3, 14]
dɔɹ	dɔɹ	[]
ɹɪŋ	ɹɪŋ	[]
stɹit	ətɹit	[1, 14]
tɹi	ɹi	[14]
ɑɹt͡ʃ	ɑd͡ʒ	[11, 14]
t͡ʃɛst	t͡ʃɛt	[14]
ɫɑk	ɫɑk	[]
spun	əpun	[1, 14]
stæmp	ətab	[1, 11, 14, 14]
pɪkt͡ʃɹ̩	pɪt͡ʃɹ	[14]
ɡɫəv	ɫəf	[8, 14]
æpəɫ	apəɫ	[]
hæt	hat	[]
ɑɹmi	ɑmi	[14]
kæmɹ̩ə	kamɹə	[]
naɪf	naɪf	[]
stɑɹ	ətɑɹ	[1, 14]
d͡ʒuəɫ	d͡ʒuəɫ	[]
neɪɫ	neɪɫ	[]
pɑkət	pɑkət	[]
pəteɪˌtoʊ	pəteɪtoʊ	[]
fʊt	fʊt	[]
ɹuf	ɹuf	[]
fɫɔɹ	fəjɔɹ	[6, 12]
fɪŋɡɹ̩	fɪɡɹ	[14]
kʊʃən	kʊʃən	[]
dɹɛs	ɹɛs	[14]
bʊk	bʊk	[]
bæθ	baθ	[]
əvən	əvən	[]
ɫɪp	ɫɪp	[]
ʃɹ̩t	ʃɹt	[]
bɫeɪd	ɫeɪt	[8, 14]
dɹɔɹ	ɹɔɹ	[14]
stɛm	ətɛm	[1, 14]
ɛnd͡ʒən	ɛd͡ʒən	[14]
hwiɫ	wiɫ	[14]
waɪɹ̩	waɯɹ	[3]
hwɪp	wɪp	[14]
hwɪsəɫ	wɪsəɫ	[14]
kæt	kat	[]
bæɡ	bak	[8]
speɪd	əpeɪt	[1, 8, 14]
kɑɫɹ̩	kɑjɹ	[12]
kɑɹt	kɑd	[11, 14]
əmˌbɹɛɫə	əbɹɛjə	[12, 14]
aɪɫənd	aɪjəd	[8, 11, 12, 14]
ɡɑɹdən	ɡɑdən	[14]
æŋɡəɫ	aɡəɫ	[14]
bɔɪ	bœɪ	[4]
ɹeɪɫ	ɹeɪɫ	[]
ɹæt	ɹat	[]
bænd	bad	[8, 11, 14]
ɹut	ɹut	[]
pɛn	pɛn	[]
pɹɪzən	ɹɪzən	[14]
bɛɹi	bɛji	[12]
ɡoʊt	ɡoʊt	[]
hɑˌspɪtəɫ	hɑpɪtəɫ	[14]
məsəɫ	məsəɫ	[]
fɑɹm	fɑm	[14]
wɪŋ	wɪŋ	[]
fɛðɹ̩	fɛðɹ	[]
