k æ ɹ ɪ d͡ʒ	k a j ɪ t͡ʃ
m u n	m u n
t e ɪ ɫ	t e ɪ ɫ
b ə ɫ b	b ə - b
h ʊ k	h ʊ k
w ɹ̩ m	w ɹ m
k o ʊ t	k o ʊ t
b ɹ e ɪ n	- ɹ e ɪ n
p ɑ t	p ɑ t
ɫ ɛ ɡ	ɫ ɛ k
f ɪ ʃ	f ɪ ʃ
n i	n i
n i d ə ɫ	n i j ə ɫ
n ə t	n ə t
s ɹ̩ k ə ɫ	s ɹ k ə ɫ
k ə p	k ə p
n ɛ t	n ɛ t
ɛ ɡ	ɛ k
h æ n d	h a - d
h ɑ ɹ t	h ɑ - d
p ɪ n	p ɪ n
b e ɪ b i	b e ɪ j i
w ɔ ɫ	w ɔ ɫ
b u t	b u t
p a ɪ p	p a ɪ p
ɹ i s i t	ɹ i s i t
b ɹ æ n t͡ʃ	- ɹ a - d͡ʒ
ɔ ɹ ə n d͡ʒ	ɔ j ə - d͡ʒ
- s p ɹ ɪ ŋ	ə - p ɹ ɪ ŋ
p ɪ ɡ	p ɪ k
s - n e ɪ k	s ə n e ɪ k
t͡ʃ e ɪ n	t͡ʃ e ɪ n
- s t ə m ə k	ə - t ə m ə k
b ɹ ə ʃ	- ɹ ə ʃ
p ɫ e ɪ n	- ɫ e ɪ n
d ɹ ɑ p	- ɹ ɑ p
d ɹ e ɪ n	- ɹ e ɪ n
h ɔ ɹ n	h ɔ - n
ɑ ɹ m	ɑ - m
h æ m ɹ̩	h a m ɹ
k ɹ̩ t ə n	k ɹ t ə n
ɫ i f	ɫ i f
n ɛ k	n ɛ k
p ɫ a ʊ	- ɫ ɑ ʊ
d ɔ ɹ	d ɔ ɹ
ɹ ɪ ŋ	ɹ ɪ ŋ
- s t ɹ i t	ə - t ɹ i t
t ɹ i	- ɹ i
ɑ ɹ t͡ʃ	ɑ - d͡ʒ
t͡ʃ ɛ s t	t͡ʃ ɛ - t
ɫ ɑ k	ɫ ɑ k
- s p u n	ə - p u n
- s t æ m p	ə - t a - b
p ɪ k t͡ʃ ɹ̩	p ɪ - t͡ʃ ɹ
ɡ ɫ ə v	- ɫ ə f
æ p ə ɫ	a p ə ɫ
h æ t	h a t
ɑ ɹ m i	ɑ - m i
k æ m ɹ̩ ə	k a m ɹ ə
n a ɪ f	n a ɪ f
- s t ɑ ɹ	ə - t ɑ ɹ
d͡ʒ u ə ɫ	d͡ʒ u ə ɫ
n e ɪ ɫ	n e ɪ ɫ
p ɑ k ə t	p ɑ k ə t
p ə t e ɪ t o ʊ	p ə t e ɪ t o ʊ
f ʊ t	f ʊ t
ɹ u f	ɹ u f
f - ɫ ɔ ɹ	f ə j ɔ ɹ
f ɪ ŋ ɡ ɹ̩	f ɪ - ɡ ɹ
k ʊ ʃ ə n	k ʊ ʃ ə n
d ɹ ɛ s	- ɹ ɛ s
b ʊ k	b ʊ k
b æ θ	b a θ
ə v ə n	ə v ə n
ɫ ɪ p	ɫ ɪ p
ʃ ɹ̩ t	ʃ ɹ t
b ɫ e ɪ d	- ɫ e ɪ t
d ɹ ɔ ɹ	- ɹ ɔ ɹ
- s t ɛ m	ə - t ɛ m
ɛ n d͡ʒ ə n	ɛ - d͡ʒ ə n
h w i ɫ	- w i ɫ
w a ɪ ɹ̩	w a ɯ ɹ
h w ɪ p	- w ɪ p
h w ɪ s ə ɫ	- w ɪ s ə ɫ
k æ t	k a t
b æ ɡ	b a k
- s p e ɪ d	ə - p e ɪ t
k ɑ ɫ ɹ̩	k ɑ j ɹ
k ɑ ɹ t	k ɑ - d
ə m b ɹ ɛ ɫ ə	ə - b ɹ ɛ j ə
a ɪ ɫ ə n d	a ɪ j ə - d
ɡ ɑ ɹ d ə n	ɡ ɑ - d ə n
æ ŋ ɡ ə ɫ	a - ɡ ə ɫ
b ɔ ɪ	b œ ɪ
ɹ e ɪ ɫ	ɹ e ɪ ɫ
ɹ æ t	ɹ a t
b æ n d	b a - d
ɹ u t	ɹ u t
p ɛ n	p ɛ n
p ɹ ɪ z ə n	- ɹ ɪ z ə n
b ɛ ɹ i	b ɛ j i
ɡ o ʊ t	ɡ o ʊ t
