rule_idx	rule	rule_regex	rule_len	hits	scope	confidence
1429	s -> ∅ / X __ [+C/V, -syllabic, -stress, +consonantal, -sonorant, -continuant, -delayed release, -approximant, -tap, -trill, -nasal, -voice, -spread gl, -constr gl, -round, -labiodental, -lateral] X	s -> ∅ /  __ (k|t|p)	198	21.0	21.0	0.9731338022138504
192	æ -> a / X __ [+C/V, -syllabic, -stress, -tap, -trill, -spread gl, -constr gl, -round, -labiodental, -lateral] X	æ -> a /  __ (ŋ|n|m|k|ɡ|z|t|ʃ|s|p|d|b|θ|ð|d͡ʒ|t͡ʃ|j|ɹ)	112	19.0	19.0	0.9704351819646336
1123	ɹ̩ -> ɹ / X [-stress, -tap, -trill, -spread gl, -constr gl, -labiodental] __ X	ɹ̩ -> ɹ / (ɑ|a|æ|ɔ|o|œ|ə|e|ɛ|ɯ|u|ʊ|i|ɪ|ɫ|ŋ|n|m|k|ɡ|z|t|ʃ|s|p|d|b|θ|ð|d͡ʒ|t͡ʃ|w|j|ɹ|ɹ̩) __ 	78	18.0	18.0	0.968871728934474
1359	∅ -> ə / [+begin/end] __ [+C/V, -syllabic, -stress, +consonantal, -sonorant, +continuant, +delayed release, -approximant, -tap, -trill, -nasal, -voice, -spread gl, -constr gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, +strident, -lateral, -DORSAL] [+C/V, -syllabic, -stress, +consonantal, -sonorant, -continuant, -delayed release, -approximant, -tap, -trill, -nasal, -voice, -spread gl, -constr gl, -round, -labiodental, -lateral] X	∅ -> ə / (⋊) __ (s) (k|t|p)	456	18.0	18.0	0.968871728934474
1250	ɹ -> ∅ / X [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -front, +back] __ [+C/V, -syllabic, -stress, +consonantal, -approximant, -tap, -trill, -spread gl, -constr gl, -round, -labiodental, -lateral] X	ɹ -> ∅ / (ɑ|ɔ|o) __ (ŋ|n|m|k|ɡ|z|t|ʃ|s|p|d|b|θ|ð|d͡ʒ|t͡ʃ)	338	14.0	14.0	0.960519213544768
1195	n -> ∅ / X [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -back] __ [+C/V, -syllabic, -stress, +consonantal, -sonorant, -continuant, -approximant, -tap, -trill, -nasal, -spread gl, -constr gl, -LABIAL, -round, -labiodental, +CORONAL, -lateral, -DORSAL] X	n -> ∅ / (a|æ|ə|e|ɛ|i|ɪ) __ (t|d|d͡ʒ|t͡ʃ)	400	9.0	9.0	0.9405769851841768
1708	d -> t / X [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -labiodental, -lateral] __ [-begin/end]	d -> t / (ɑ|a|æ|ɔ|o|œ|ə|e|ɛ|ɯ|u|ʊ|i|ɪ|ɹ̩) __ (⋉)	183	9.0	9.0	0.9405769851841768
1612	a -> ɑ / X [+C/V, -syllabic, -stress, -tap, -trill, -constr gl, -round] __ [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, +LABIAL, +round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, -front, +back, -tense] X	a -> ɑ / (ɫ|ŋ|n|m|k|ɡ|z|v|t|ʃ|s|p|f|d|b|θ|ð|d͡ʒ|t͡ʃ|j|ɹ|h) __ (ʊ)	305	8.0	8.0	0.93389262459484
1390	∅ -> ə / X [+C/V, -syllabic, -stress, +consonantal, -sonorant, +continuant, +delayed release, -approximant, -tap, -trill, -nasal, -voice, -spread gl, -constr gl, -round, -lateral, -DORSAL] __ [+C/V, -syllabic, -stress, +sonorant, -tap, -trill, +voice, -spread gl, -constr gl, -LABIAL, -round, -labiodental, +CORONAL, -strident] X	∅ -> ə / (ʃ|s|f|θ) __ (ɫ|n|ɹ)	329	7.0	7.0	0.9255078056777428
740	ɹ -> j / X [-stress, +continuant, -tap, -trill, -nasal, -spread gl, -constr gl, -lateral] __ [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -labiodental, -CORONAL, -lateral, +DORSAL, -low] X	ɹ -> j / (ɑ|a|æ|ɔ|o|œ|ə|e|ɛ|ɯ|u|ʊ|i|ɪ|z|v|ʃ|s|f|θ|ð|w|j|ɹ|ɹ̩) __ (ɔ|o|œ|ə|e|ɛ|ɯ|u|ʊ|i|ɪ)	276	7.0	7.0	0.9255078056777428
1149	b -> ∅ / [+begin/end] __ [+C/V, -syllabic, -stress, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -LABIAL, -round, -labiodental, +CORONAL, -strident] X	b -> ∅ / (⋊) __ (ɫ|ɹ)	197	7.0	7.0	0.9255078056777428
1675	ɫ -> j / X [-stress, +continuant, -tap, -trill, -nasal, -spread gl, -constr gl, -round, -CORONAL, -lateral] __ [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -labiodental, -lateral] X	ɫ -> j / (ɑ|a|æ|ə|e|ɛ|ɯ|i|ɪ|v|f|j) __ (ɑ|a|æ|ɔ|o|œ|ə|e|ɛ|ɯ|u|ʊ|i|ɪ|ɹ̩)	269	6.0	6.0	0.9146745292843932
