rule_idx	rule	rule_regex	rule_len	hits	scope	confidence
0	ɹ -> ∅ / X [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -front, +back] __ [+C/V, -syllabic, -stress, +consonantal, -sonorant, +continuant, +delayed release, -approximant, -tap, -trill, -nasal, -voice, -spread gl, -constr gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, +strident, -lateral, -DORSAL] X	ɹ -> ∅ / (ɒ|ɑ|ɔ|o) __ (s)	460	2.0	2.0	0.7915953685536075
1	ɹ -> ∅ / X [+C/V, -syllabic, -stress, -sonorant, -approximant, -tap, -trill, -nasal, -constr gl, -round, -CORONAL, -lateral] [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, +LABIAL, +round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -low, -front, +back, -tense] __ [+C/V, -syllabic, -stress, +consonantal, -approximant, -tap, -trill, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -lateral] X	ɹ -> ∅ / (k|ɡ|v|p|f|b|β|h) (ɔ) __ (ŋ|n|k|ɡ|z|t|ʃ|s|d|θ|ð|d͡ʒ|t͡ʃ)	492	5.0	5.0	0.900124790564984
2	ɹ -> ∅ / X [+C/V, -syllabic, -stress, -sonorant, -approximant, -tap, -trill, -nasal, -constr gl, -round, -labiodental, -CORONAL, -lateral] [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, +LABIAL, +round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -low, -front, +back, -tense] __ [+C/V, -syllabic, -stress, +consonantal, -sonorant, -approximant, -tap, -trill, -nasal, -spread gl, -constr gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -lateral, -DORSAL] X	ɹ -> ∅ / (k|ɡ|p|b|β|h) (ɔ) __ (z|t|s|d)	569	3.0	3.0	0.8478608772434439
3	ɹ -> ∅ / X [+C/V, -syllabic, -stress, -sonorant, -approximant, -tap, -trill, -nasal, -voice, -constr gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral] [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, +LABIAL, +round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -low, -front, +back, -tense] __ [+C/V, -syllabic, -stress, +consonantal, -sonorant, -approximant, -tap, -trill, -nasal, -spread gl, -constr gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -lateral, -DORSAL] X	ɹ -> ∅ / (k|h) (ɔ) __ (z|t|s|d)	586	2.0	2.0	0.7915953685536075
4	ɹ -> ∅ / X [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, +low, -front, +back] __ [+C/V, -syllabic, -stress, +consonantal, -sonorant, -approximant, -tap, -trill, -nasal, -spread gl, -constr gl, -LABIAL, -round, -labiodental, +CORONAL, -lateral, -DORSAL] X	ɹ -> ∅ / (ɑ) __ (z|t|ʃ|s|d|θ|ð|d͡ʒ|t͡ʃ)	408	5.0	6.0	0.7635729812512861
5	ɹ -> ∅ / X [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -front, +back] __ [+C/V, -syllabic, -stress, +consonantal, -approximant, -tap, -trill, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -lateral] X	ɹ -> ∅ / (ɒ|ɑ|ɔ|o) __ (ŋ|n|k|ɡ|z|t|ʃ|s|d|θ|ð|d͡ʒ|t͡ʃ)	347	10.0	11.0	0.8621476497621283
6	ɹ -> ∅ / X [+C/V, -syllabic, -stress, +consonantal, -sonorant, -approximant, -tap, -trill, -nasal, -voice, -spread gl, -constr gl, +LABIAL, -round, -CORONAL, -lateral, -DORSAL] [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, +low, -front, +back] __ [+C/V, -syllabic, -stress, +consonantal, -approximant, -tap, -trill, -spread gl, -constr gl, -round, -labiodental, -lateral, -DORSAL] X	ɹ -> ∅ / (p|f) (ɑ) __ (n|m|z|t|ʃ|s|p|d|b|θ|ð|β|d͡ʒ|t͡ʃ)	536	2.0	2.0	0.7915953685536075
7	ɹ -> ∅ / X [+C/V, -syllabic, -stress, -sonorant, -approximant, -tap, -trill, -nasal, -constr gl, -round, -CORONAL, -lateral, -DORSAL] [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, +LABIAL, +round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -low, -front, +back, -tense] __ [+C/V, -syllabic, -stress, +consonantal, -approximant, -tap, -trill, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -lateral] X	ɹ -> ∅ / (v|p|f|b|β|h) (ɔ) __ (ŋ|n|k|ɡ|z|t|ʃ|s|d|θ|ð|d͡ʒ|t͡ʃ)	501	4.0	4.0	0.8795102700976709
8	ɹ -> ∅ / X [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -front, +back] __ [+C/V, -syllabic, -stress, +consonantal, -sonorant, +delayed release, -approximant, -tap, -trill, -nasal, -voice, -spread gl, -constr gl, -LABIAL, -round, -labiodental, +CORONAL, +strident, -lateral, -DORSAL] X	ɹ -> ∅ / (ɒ|ɑ|ɔ|o) __ (ʃ|s|t͡ʃ)	422	3.0	3.0	0.8478608772434439
9	ɹ -> ∅ / [+begin/end] [+C/V, -syllabic, -stress, +consonantal, -sonorant, +continuant, +delayed release, -approximant, -tap, -trill, -nasal, -voice, -spread gl, -constr gl, +LABIAL, -round, +labiodental, -CORONAL, -lateral, -DORSAL] [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, +low, -front, +back] __ [+C/V, -syllabic, -stress, +consonantal, +sonorant, -continuant, -approximant, -tap, -trill, +nasal, +voice, -spread gl, -constr gl, +LABIAL, -round, -labiodental, -CORONAL, -lateral, -DORSAL] [-begin/end]	ɹ -> ∅ / (⋊) (f) (ɑ) __ (m) (⋉)	662	1.0	1.0	0.0
